sentiment,vi_review
negative,vợ a thay cửa tủ k ah
negative,cưới a hứa e cuộc sống phim a quên phim hành động
negative,đôi khi một mình va khóc một mình 😭 😭
positive,😳 😳 😳 😳 😳 😳 😳
negative,b
negative,tồi tệ rời đi . đau đớn thương 😋 chấp nhận
positive,kiều hnao rủ lợi đê
negative,trở lại suy nghĩ kh từ bỏ hh
negative,hi vọng
negative,tuan e mệt
negative,🦐 ước tiền 🙄
positive,ấm áp
positive,dieudiudang đu trend mỡ nè haha
positive,soái ca ngôn tình
negative,t tiêu cực miệng đời động lực - ) )
negative,nhựt minht
negative,bố m bố m m lên đường
negative,"một mình ,"
positive,trần yếnvy
positive,huệ trần chou chou
positive,chào
negative,thay vì kể lể uất ức bằng lòng im lặng
positive,k từ bỏ . cố gắng r dc đền đáp 🥰
negative,giahuytran thấm
negative,b mạnh mẽ <someone> lạnh lùng ng khóc đêm
negative,đau lắm 😭
positive,trang đỗ nguyễn hải yến hai c học nè
negative,thiện nguyễn : rối loạn lo âu mấy r hình như viêm đường tiêu hóa miễn dịch kém
negative,hiếu phạm dạo suy nghĩ
positive,balan 🇻 🇳 🇵 🇱 chúc mừng sinh nhật e trai . <someone> vui vẻ
positive,vui 🥰
negative,t 🐕 cưỡi m 🤭
negative,buồn đau lòng … xui xẻo
negative,báo công an đi ko mai mốt đánh
positive,hoàn hảo 🤣 🤣 🤣 🤣 🤣 🤣
negative,nguyễn chí hiếu
positive,cám ơn cố gắn
positive,quôc ghê
positive,ngang cô dâu 😂
negative,"ta đốt đi quá khứ , tro tàn phủ kín lòng .."
negative,0 : 15 đag thức
negative,ckia
positive,🤣
positive,cực kỳ hữu ích tuyệt vờiiii
positive,11 yêu kịp ngỏ nào ngờ qua đời
positive,cưng
negative,"chông chênh , lạc lõng 🥺"
negative,mệt mỏi ... giá đắt .
negative,. hổn cha mẹ ngoại tình đánh said bey
negative,"😊 trống rỗng , lsao ,"
positive,😇
negative,"e tệ , a quen e a ảnh hưởng suy nghĩ tiêu cực e . e k e gánh quan hệ .."
positive,gái xinh đau 🤣
positive,hài hước 10 ₫ ha
positive,hạnh phúc 🥰 🥰
negative,tui hok ny tui lun 😂
negative,buồn - ( (
positive,"gập duyên , mượn 50 k nợ 🥰 😂"
negative,từ bỏ đc ☺ ️
negative,ko suy nghĩ lời lẽ mik ...
positive,đẹp tuyệt vời 👍
positive,soái ca ngôn tình cj 1 mik
positive,hội hòa dễ thương
positive,"vô cmt toàn khen cổ mẹ cổ , hông nhắc cổ lun á chèn 😂"
negative,trần chí nhân inter kiểu hành gà seri a 🥲
negative,mệt mỏi 😌
negative,ngocc ánhh giúp kìa m
positive,e mua
negative,hong hong đánh gái chủ thớt ghi hơi vô lý
negative,miệng đời 1 dao vô hình ...
negative,tích cực đi ban
negative,<someone>
positive,<someone> hok nổi
negative,ko
negative,cô đơn gieo hy vọng mở lòng đi nữa đau . buồn lắm í .
negative,ước ..
positive,bé mèo puma
positive,good job little one 👍 😁
negative,cảm tưởng k
negative,mệt mẹ thở nổi
negative,"im lặng , khóc 1 minh , khóc chán r tỉnh 😁"
negative,haizz 😌
positive,nha 🥰 🥰
negative,tình yêu phân biệt ngoại hình .. ta vẻ quần trọng . buông đi . thân hình mẹ cố gắnlmj
positive,<someone> nt_mai268 học
positive,k chó bắt mèo ăn cứt 🤣
negative,mệt ráng lm ko thể dc kiếm tiền lo mẹ già dg ko thể cho phép bn thân từ bỏ 😳
negative,hi 🤫 🤫 cj qtam nhìu nx 😊
positive,cam on a .
positive,để ý đôi guốc . kkk
positive,cười duyên
negative,", tiếc ..."
negative,dao vô hình ...
negative,đi
positive,mê
negative,tui lớp học giỏi tui 😔 😔 😔
negative,"sếp cũ t ngáo đì tao ghét thân tao , kiểu tham gia nhân viên . đi chăm mẹ ốm tưởng đi mặc dù ảnh hưởng =))))"
positive,"trời ko xanh , mây ko trắng , ko say nắng , say"
negative,tự nhủ mặc kệ miệng đời nma ngta bàn tán buồn tự ti hẳn
negative,khang nguyễn76536 ốm liên tục 😄
positive,dương hoài 😂 tự hào tình cảm 😚
positive,nhạc đc ko cám ơn
positive,tưởng inter lắm
positive,cười dỗi
negative,đọc cmt k cô đơn . 🥺
negative,giọng kh buồn nổi - ) )
negative,thoát
negative,vô nghĩa
negative,❤ ️ ‍ 🩹
negative,mong e chẳng suy nghĩ ..
negative,thương e .
negative,hom that te 🥰
negative,1 áp lực
positive,my nhung tran vía y
positive,🧸 çapkene 🧸 edhe 💯 embelsir klb sot drit zoti te plocoft cdo deshir 🙏 🧸 cristal 🧸 💐 💐 💐 💐 🫂 🫂 🫂 ❤ ️ ❤ ️ ❤ ️
positive,"cô dâu showbit ko ae , đẹp ca sỹ người mẫu ( ý kiến )"
negative,thuong c c oi 😭 😭 😭
negative,áp lực học hành công việc bạn bè
negative,khổ thân 😌 đàn ông niềm đau
negative,thằng đàn ông ta sống thiên hạ . ta cảm giác . đi .
positive,đời đời nhớ ơn anh hùng liệt sĩ hào hùng <someone> điện biên phủ
positive,đặng đình hiển đỉnh cao :))
negative,hìnn
negative,nek over thinking em thể tập luyện giải thoát đc 😔 😔
positive,mắc cười ta 😂 😂 😂 😂 😂 😂 😂 😂 😂
negative,nhắm mắt ngủ suy nghĩ 😂
negative,đàn ông . chia tay đi xứng đáng đk tình yêu đẹp .
negative,e tưởng cặp bồ đánh . đăng k ngớ ngẩn tí coi
positive,fl ❤ ️
positive,tồi đi
negative,🙌
negative,"đau , … . 😔"
negative,- ᄒ quyềnᄒ - . cop . ✿ xin lỗi hôm e tủi thân vô cùng
positive,trai <someone> 🥰 🥰
negative,chồng sướng đăng khổ đăng suốt lữa
positive,ngoại đánh trận 🫡
negative,tui mắc bệnh 😢
negative,áp lực gđ
positive,lỡ chạy lm
positive,dịch anh chị lỡ kế hoạch k
negative,mệt đấy
negative,hạ vy gd văn
positive,happy birthday 🎂
positive,20_10 _06_qynh mai random dance nì
positive,tắm rượu thay bộ quần áo trắng tinh nhá 😁 😂
positive,cảm phục rơi nước mắt
positive,hiếu làng liều 🦁 cưnggg waaaa 😾
positive,🥰 🥰 🥰 🥰 🥰 tuyệt vời em gái dễ thương chúc tối vui vẻ nhé 👍 ❤ ️ 💞 💞 ❤ ️ 🌹 🌹 🌹 🌹 🌹 🌹 💖 💖 💖 💖 🥰
positive,tuyệt đẹp ❤ ️ ❤ ️ ❤ ️
negative,mệt mỏi bất lực 🥹
positive,trần <someone> m nè
positive,ăn mì mì hai tôm 🤭
positive,hjhj tác phẩm nghệ thuật thế giới
positive,đẻ găp đc e 🤣 🤣 ngag đau tien tù viec phạm nhân vao zj 🤣 🤣 mé quê nín hêt lam
negative,chửi đấy chửi k . óc c
negative,cryy 😥
negative,mún khả năng a hông đc 🥺 🥺
negative,𝐌a ...
negative,đau lòng that ..
positive,giọng cười kìa :))
positive,vữngthanh 🫶 tren bắp kkk
positive,tui câu
negative,hối hận nguyện vọng đại học 🥺 . tưởng chừng quên nỗi đau . k 🥺 🥺
negative,nàng ơiiii 🥺 🥺 🥺
negative,đừng áp lực vai cạnh con bé ước mơ đi đường tương lai
positive,né . pam kal
negative,mik thik ta ta thik ta hp mik lạnh lẽ ☺
positive,anh hùng hi sinh anh hùng thương binh đất nước hôm nay ❤ ️ ❤ ️ ❤ ️ 🥰 🥰 🥰
negative,chuẩn lun . đi 16 t mh pải học tự lập khóc bùn vui hp 1 mh . tâm sự cx chả bt dựa . cx sợ gd lo lắng 🥺
positive,may mắn vinh dự thi công 1 sự kiện ... 🤗
negative,"tpa thoii , đâuu 🥺"
negative,"tự dưng mik vô ích , gánh gia đình nghĩ liệu xứng đáng"
positive,thía 😅
negative,nhắn : cút đi thằng 🐕 rách r block 🤞
negative,"áp lực công việc , tài chính"
positive,đẹp
negative,nổi
positive,tr thu ha m đừng :)))
positive,😂 cg mún cn gái
positive,"buôn . thu nhặt , kiến thức tích cực . cuoc sống <someone> , vô âu , vô lo ☺ ️ ☺ ️"
negative,thất phu ...
negative,vũ nhật yến m nè
negative,lớp mik vui chẳng ns vs phòng khóc 1 mik ☺ ️
negative,. tt k ghi 1 câu . đếm 1 ... k tiêu cực . kiên quyết đếm bận rộn .
negative,đau 🥺
negative,đứa trẻ vô tư suy nghĩ
negative,cô đơn á hả
negative,áp lực bame 🥺
positive,đẹp
negative,mẹ
positive,"ý nghĩa , khâm phục"
negative,áp lực lớpp
negative,"nguyễn hảii an dám thoi , vs ❤ ️ mặc dù sợ , k hối hận"
positive,chúc thâth sức khỏe hoàn thành dự định . lắm
positive,gửi chút nắng ban mê mn nha 🫠
negative,thương . nguoi thương
negative,e cung đe thương ma 😁 🥰
negative,ko <someone> chửi thẳng thừng chửi tác mặt chửi nhục mặt . chửi tới tấp tuiiiii
positive,cất tiếng nói giật mình ln 😅 😅 😅
positive,hoa hậu bao h đi cô dâu xinh đẹp 😂
negative,mett moi quaaa chả aii yêu tớ tin tưởng kh 😊
negative,mjh mn a . đi xa xa xíu lo sợ lung tung .
negative,nghèo lừa 😔
negative,mún tích tực tiêu cực ùa
negative,tạiii <someone> nthe v =)))
negative,khóc mai r ổn
negative,hành nông tiêu cực
positive,happy brithday
positive,pammm iuuu 😚
negative,ròii nội ròi ko đc ngoại 🥺 🥺 mùng5 🥺 🥺
positive,mạnh mẽ lắm
negative,ngày mai ...
positive,xinh hoa hậu
positive,cố ☹ ️ ☹ ️ ☹ ️
negative,chia tay đi
positive,vi diệu 🥰
positive,xinh
negative,ng hương
positive,đam mê
negative,song bản thân minh đi e oi 🥰 🥰 🥰
negative,👾 thương emm = ( (
positive,tien =)))
negative,hungdung2306 mạnh mẽ chịu đựng bật khóc tủi thân 🥰
negative,chang biet lam the nao nua … .
positive,dễ thương ii
negative,quy là 😂
positive,cay thi phai co la . ma thi phai co ba . ca thi phai co nuoc . the thi e uoc tron doi ben a ❤ ️ ❤ ️
positive,"nexflix sale 50 hôm nay 1 , 55 k 1 1 , 2 99 k tặng 1 1 , 4 188 k tặng 2 1 , 6 355 k tặng 4 1 , 1 799 tặng 5 1 , chất lượng 4 k bao sắc nét 0 , \ sv"
negative,t cx overthinking lo kiểu suy nghĩ đồ
negative,"trap mày trap gấp đôi t , tán gái m tán trai , vui cực 🤭"
positive,🥰 ban oi
positive,"ct hòa bình nhe , lắm rài vụ ct gòi kia bem ghê lắm"
positive,👏 👏 👏 🥰 🥰 🥰 tui fai hoc làm thơ ong tán gái dc 😁 😁
positive,xuất sắc 😁
positive,dể thương
positive,hưởng vk đẹp
negative,e đg tập buông ... 😊 ... hy vọng a hp vr ng ...
negative,đi
negative,hazzzz
positive,hôm nay sinh nhật 60 chúc cố gắng
negative,"chẳng sợ chết đi , sợ cuộc gọi đêm . bất lực lắm sợ chết đi nữa ❤ ️"
negative,"nhạy cảm overthinking khóc liền , mấy ai .. khóc"
positive,"tập sống nhẹ , sống đơn giản 🥰"
positive,"phát hiện linh cảm đi ntin trai lạ thậm trí nyc r đi k , k nứng l dạo dc"
positive,lợin ❤ ️ cưng 😘
negative,hk bảo ss .. hoi giỏi ss roi chui
positive,đức phúc duyên dáng
positive,đấy chiếu
negative,thương 😳
negative,thằng
positive,ghiền hum vợ
negative,dtn 💞 🐝 tao ko thể
positive,1 miễn là 😅 😅
negative,bố trở nên thế này đc ... 😊
negative,"chửi chi dơ miệng , đợi trời tru đất diệt thoy :)))"
negative,vui k s bùn moi k an ủi k đồng cảm câu chỉ trích dạy đời
positive,day nghi luc luon ak
negative,. yêu thương đấy thương 🥰 🥰 ❤
positive,"nhảy miếng cơm , hộp sữa 😅"
positive,"quản lý nghỉ quan hệ rộng công ty 🤭 xui ghê , táp ná thở"
positive,ánh sáng màn hình đt ánh sáng pháo hoa 😂
negative,cố gắng trở nên 🥰
negative,chữ tiền
positive,""" đi cười "" t đọc rớt nước mắt"
negative,mập xinh
positive,kp
negative,bo liền e
positive,cưng 😄
negative,ác .. chê béo méo 😳
negative,câu đi giông tui đợt thi tn thpt
negative,bé dượng đánh phòng ko
positive,yêu việt nam 🥰 🥰
negative,ducdung91000 v
negative,dc thằng r 😌
negative,đỗ <someone> chọc nị ok :))
positive,đoạn đầu mẹ ả ta nét châu tấn trời
positive,thay nhạc
negative,"tổn thương lắm , ☺ ️"
negative,thất vọng 😥 😥
negative,cải lộn hk giải thích bóp cổ dong vô mắt
positive,kệ đi bồ mãi lương hà vy
negative,kì v kkk
negative,buông di em
negative,mong trải vơi đi bớt áp lực
positive,giá hình ảnh lăng bác tuyệt vời tự hào . màn trình diễn xuất sắc
negative,nghỉ z trời .. béo tội nè .. béo nè .... hihi z dug quen ta
negative,loạn khóc lóc chẳng giúp b vơi đi nỗi buồn đứa con bé bỏng cháo đời mấy ☺ ️
positive,hảo hán 👏 👏
positive,đọc sách chữa lành ☺ ️
negative,depay thg inter cook đầu
negative,t mệt mỏi cảm xúc t
negative,dr .... toi da rat tieu cuc
negative,"mùa thả diều đag vv thả diều màu sắc bầu trời vô tận , 4 ngoại ko cùg thả diều nx đi r ☺ ️"
positive,inter :))
positive,tự hào con người việt nam
negative,cỏn con th rưng rưng r
negative,văn r fb nyc live tạm biệt ảnh mấy e gái nha = )
negative,thương
negative,nắng đi t học quân sự
positive,ước đi
positive,hoàn cảnh hỉu lun 🥲
negative,"ước dì mệt mỏi , overthingking 1 , giúp vui ..."
negative,. đc yêu đc
negative,ngỡ mạnh mẽ rơi nước mắt
negative,danr ngẫm
negative,ý nghĩ ck bền vững
negative,k khóc 1 m
positive,tặng e quả tim
positive,xênh
positive,sợ
negative,đi
positive,lập trình sẵn ta 🤔 🤔
negative,cháu đi khám đi
negative,😞 😞 😞
positive,hè
positive,yêu
negative,mệt mỏi . mệt mỏi .
positive,cười ko nhặt đc mồm
negative,anna câu . 1 m xảy ch a 🥹
positive,toàn sách 🥰
positive,huỳnh đăng minh nè he . he
negative,lo ta tổn thương ta ..
positive,số lượng điện thoại drone 😂
negative,thằng chê tui.ck tui bảo vk tao đẹp . 😂 củng ngại cảm giác ck bảo vệ sướng bn
positive,hai vãi
positive,vy 🌷 cưng m ha
negative,kh . ái 🐢 buồn an ủi 🥺
positive,ha ha thơ thẩn ngộ thế ko a qhoi hợp chúc ko
negative,mong cỏ thể ☺ ️
positive,eugene stanley birthday to you dad 💍 ♾ 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳
negative,"ko =)))) công ty to bè phái cho dù tư nhân nhà nước đi ko hòa đồng , chăm chăm làm việc đối tượng sếp ko mắt hòa nhập môi trường làm việc tồn tại , cty thay thế nhân viên dc hòa đồng đội công ty : 3 thế giới xoay quanh , trừ tầm ảnh hưởng"
negative,tồn tại người thương đừng quan mình bệnh hoài chồng chất
negative,trải giai đoạn bất lực
positive,sách lắm
negative,thương
negative,đánh tơi 13 nam thoát đc hành hạ ly hôn cố gắng mạnh mẽ
negative,diep r khóc 🥺
negative,met oi ..
positive,5
positive,bé dễ thương
negative,"im lặng , đánh gi trông vô nghĩa đau lòng"
negative,xã hội đan nhiu lắm thư đừng đe mẹ dau lòng tập
negative,kh t chọn lựa chọn 1 😩
positive,cuộc đời hàng ngàn cám dỗ bến đỗ .
positive,chúc sức khỏe
negative,chi tiền
positive,cười đau bụng
positive,lưu dii thay chúc
negative,gồng đứng
negative,"k , đau lòng , tự trách 😢 🥺"
positive,chúc 2 trăm năm hạnh phúc
positive,nguyen thu hỉ
negative,từ bỏ đau lưng
positive,tiền
positive,bộ đồ mua
positive,"chúc chân thành nè , 🥰"
positive,pam cuti 😳 😳 ❤ ️ ❤ ️
negative,"chia tay , kiện tội bạo lực gia đình 🧐"
positive,bé xinh
negative,bóng đá vn . <someone> 2 k 1 🥰 🥰 🥰 làm_việc_tại_nhà_kiếm88
positive,cám ơn đẹp tuyệt vời
negative,cố gắng e
negative,stress … k hướng giải quyết 🙂
negative,"đấm trận , ước mơ đấy hộ 2 phát đạp nha"
positive,phố quê 🥰
positive,happy birthday to you 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳
negative,rớt nước mắt 🥺
positive,chẳng đi dạo chiều 😆
positive,đời đời biết ơn anh hùng liệt sĩ
negative,đừng . . chẳng qua tham dầu
positive,"mừng đảng , mừng xuân , chúc việt nam mãi giàu mạnh phát triển . 🥰"
positive,ảnh 🤣
negative,cuộc đời gái 😔
positive,khoảnh khắc erik rớt tóc giả z :)))
positive,xinh đẹp
positive,♥ ️ ♥ ️ ♥ ️
negative,"đc "" kinh tế "" bủa vây 🥺"
positive,t 1 pam
positive,giọng ngọt ngào
negative,định ném 💩 ng dính 💩 . chửi bẩn mồm 🤡
positive,tram ú nu 😹 😹 😹 🥰 🥰
positive,quyển
negative,t 2 l chấm dứt cs 1 tg đàn ông tệ bạc . htai t trân trọng cs chính bme đứa
negative,1 roi ngta vay chưaa
negative,đừng v phán ck câu chuyện đc vợ tittok
positive,hẹn cổng hỏi thăm
negative,quy lướt stt r cảm nhận
positive,thơ
negative,đanhs kiểu đươck đọc cmt
positive,dep z
negative,"gia đình , học tập , tình cảm cs áp lực áp lực k mn mệt mỏi ☺ ️"
negative,thay su rat đau
positive,tiền - . - ngáo 😉 iu á 🤭
negative,haizz 😮 ‍ 💨
negative,bực vợ vô . k đc đánh vợ . bố mẹ ngta sinh giám đánh . k đc giải tán
negative,từ bỏ ..
negative,"sợ chết , chĩ sợ ng thân dần đi 🙏"
negative,áp lực 😥 😥
negative,😷 😞 😥 😥
positive,sách
positive,kiểu : thoiii mẹ già :))
positive,gia huy hơi cute dam t . thuy huong
negative,nhỏ nhặt tui buồn 🥺
negative,hối tiếc
positive,cổ thiên thần đồ 😍
negative,npaubxiong 😥
negative,🥺
positive,pamyeuoi 💞
positive,ngôn tình ngôn lù 🤣 🤣 🤣
positive,dễ thương
negative,đi .
positive,hòa yêu đời ghê
positive,tuyệt vời
positive,đồi lốp inter mày kìa
negative,"đi , đàn ông đời 🥺"
positive,ý chí tuyệt vời chúc sức khỏe
positive,đẹp nhìu chê
negative,"nhắn "" cút "" xong block đi = )"
positive,tâm nguyễn922 cute phết 😆 😆
positive,chết cười
negative,nhìu . béo . 1 từ bỏ . nhìu tốt đẹp chờ
negative,ryyyrry_05 ước tiền
negative,blnt dạy văn ..
negative,😌
positive,vía bé yêu bụng
negative,tuii tuii khô máu đánh tui 😏
negative,cx đag mắc kẹt quá khứ . nma c e suy nghĩ tích cực r
negative,💢 e hok suy nghỉ tiêu cực
negative,khong can li ... 🥰
negative,trọn ko trọn đàng hoàng ngọt ngào đẹp trai
negative,áp lực đồng tiền
negative,đứng thooi cx miệng đời toxic 😥
negative,gấp gấp gấp
negative,"đấy v r , j cx , dây dứt mãi cx k đc j , đứng tiếp hành trình cuộc đời ..."
negative,a nhin toi thuong va dong cam e nhieu lam.bo di e nguoi ko dang . e o dau . a o dong nai rat vui dc kb lam quen cung e . a nam 34 t chua gia dinh e
positive,xuyến s kì v
positive,tr xinh iuuu
positive,chúc mừng ac mãi mãi hạnh phúc vía đc
positive,kiệt lee 😳 😳
positive,aaaaaa cưng
negative,đôi khi buồn khóc cớ
negative,mệt mỏi ba mẹ dám khóc dám buồn mặt ba mẹ phiền lo cho.ba mẹ buồn lắm ba mẹ : ( (
negative,love this
positive,cám ơn
negative,ko tinh
negative,"tai so phận , la duyên moi vây e chờ nợ duyên tư nhiên xe nha 😁"
negative,"kb lms . đau r , kẻ đầu bạc tiễn kẻ đầu xanh ứa nước mắt . tiêm truyền mệt 😞"
positive,vợ đẹp vợ ngta 😅 😂
negative,"đa số đàn ông vs vs vợ con chẳng , coi trọng"
positive,đức thắng
negative,câu ko tiếc nuối
negative,khoảnh khắc ... cô đơn cô đơn
negative,2 mấy tuổi đầu trắng tay
negative,mấy mẹ phận đi lm thuê lm mướn giỏ giọng hạnh họe cty 🙂
positive,tara shahi happy birthday maya
negative,đôi lúc tui giải thoát ❤ ️ ‍ 🩹
negative,đổ oan lớp vô game giải trí gia đình đc bn chs ngta rời ik .... ( mệt mỏi lắm ) khóc khóc yếu đuối
positive,hoa nè
negative,nghèo
negative,met 😿
negative,hình như ik chang
positive,nhạc
positive,ni h cai lậy
negative,"beo co cai đẹp , de thuong cua beo 🙂"
negative,hongg mn cố gắng tặng mn ôm nè iuu nhìu 💞 💞
negative,😔
positive,chú rể giàu lắm . cô dâu xinh mẹ .
negative,the end of pain . overthinking quad m oii
positive,😂 😂 😂
negative,sai r
positive,vía bé
positive,hôm nay sỹ sơn bệnh nhân cường 😂 😂
positive,chuc co suc khỏe va đuoc nguyện vọng mơ ước ❤ 👍
positive,🍃 lee 🍀 k
positive,kim sinh thủy : giọng ngọt ngào kiểu giọng nói tướng <someone>
positive,🙉 ❤ ️ cuteeee
negative,áp lực 🥺 dc 1
positive,ngắm mây ngắm bầu chời ngắm thoi
positive,dep 😆 😆 😆 😆
negative,haizzzz 🥺 🥺 🥺
negative,hi
negative,vl inter
negative,xl pk chịu đựng 1 ng cgai e 😫 😌
positive,cưng xỉu 🙂
positive,🥰 🥰 🥰 🥰 🥰 🥰 oi
positive,nhái đẹp
positive,thành tâm xin vía bé ❤ ️
negative,..
negative,"<someone> ct mong muốn nhây , k dây dưa , k ghi thù ( dạo gi . ết ng ghê lắm ) . câu cú ho , <someone> đc 😷"
negative,tao mewing 🤫 🧏 ‍ ♂ ️
negative,đi
negative,"1 . im lặng hành động vũ khí phản bác coi khinh , chê cười . ta quên đi quá khứ vui bài học từng trải . đôi khi im lặng , che giấu cảm xúc , làm phiền ."
negative,trải vất vả :)
negative,cớ nh xui rủi cx 1
positive,"tan đối chia kề , tan chảy kề ."
positive,xu hướng việt nam 🇻 🇳 🇻 🇳 🇻 🇳 🇻 🇳
negative,video buồn
positive,😅
negative,"đừng hối hận . t quyết định , sai nhma m ."
negative,chill
negative,đi đàn ông cố
negative,hôm nay sinh nhật mn đi 1 chúc hong c.on mn 🥰 🍀
positive,p mốt zị nè 😂
negative,"t m , t kh đc tuyển :)))"
negative,😞 😞 chúa . chúa đường dẫn lối 😞
positive,t t <someone> t … 🦁
negative,đau lòng
positive,"vùng cao , hà nội"
positive,xin vía bé yêu bụ bẫm ❤ ️
positive,bữa quảng bình
positive,bình thường
positive,vui vẻ nha
negative,thằng ck lập trường + vũ phu gia trưởng đi tiêca .
positive,hà nguyễn học đi e 🤭 ❤ ️
positive,"ý chí ko đánh ngã , khâm phục 🥰 🥰"
negative,"hối hận , bjo hmmm"
positive,ban đầu cug dc . thây qly nchuyen voi giư chứng từ hóa đơn tư nhiên xúm gai voi
positive,tuyệt vời
negative,lạc lõng muôn vàn con người 😌
negative,lm tập podcast podcast chị em đỡ buồn 🌷
negative,<someone> lmj =)))
negative,3-Feb
positive,giọng
positive,cưng
positive,chời hòa tưởng bé khônggggg ko ă cưng xỉu xỉu
negative,k đau lòng
negative,"áp lực học tập , điểm số 😔"
negative,mik - ( (
positive,chúc sức khỏe
negative,buồn 😔 😔 😔
negative,thương e
positive,đức
positive,đẹp 🥰
positive,đọc nhẹ hẳn
positive,ngô nhật tân train đi
positive,nhảy bar
negative,tui li hôn ko đi khổ
positive,nga
negative,"inter ngu vc , toàn phế vật đá pen"
positive,nghiện thuốc nhơ yếu nghiện nàng yêu
negative,kl 🐾 a ko vs e nx 🙂
positive,chiếu dời đô hoa lư ( ninh bình ) thành đại la vua lý thái tổ
negative,"dc tự do anh chị , 20 t tự do áp lực , đau khổ suy nghĩ"
positive,đẹp
positive,kiều ngọc ❤ ️ ‍ 🔥 pam dễ thương vãi
negative,suy cái đi đừng suy cái
positive,tuyệt
positive,thái đức ê nha haha r đấy
negative,mk j
negative,gấp
negative,dc mẹ ôm 😞
negative,khóc
negative,"bame mệt nè bame , mệt xíu , tht kh bt bame đè bame cãi lm vc cãi lộn bame , cx bt đau"
positive,yeu
positive,tự hào sinh mảnh đất anh hùng ☺ ️
negative,", ko thân , lắng nge :)) m"
negative,cũm tiu cực 1 ng tâm sự vs tớ kb fb vs ặ ❤ ️ ‍ 🩹
positive,mát lòng mát dạ hà
positive,<someone> 05 chúc sn 🥰
positive,yêu đất nước . tự hào ng 🇻 🇳
positive,xinh vãi
positive,thần sầu mong đx 1 đứa
positive,đẹp
positive,dieanh2 7/2 sn e hả 😳 chết tiệt 😰 🥶 😨 chúc mừng sn muộn 🙈 🌸 ❤ ️ ❤ ️ ❤ ️ 🌸 ❤ ️ 🥳 ❤ ️ 🥳 🌸 ❤ ️ ❤ ️ ❤ ️ 🎂 👑 👑
negative,t ql m j bơi đi :)))
negative,🤫 đừng buồn nữaa
negative,kh ổn đi e thiếu z
negative,mệt 🤦
positive,good
negative,khsao 🥱
positive,a giàu 😂
negative,cha mẹ cố gắng lắm cố gắng quên đi yêu thương 🖤
positive,rượu ly zừa
negative,"văn vẻ , chia tay giải pháp 👍"
negative,đi nói chuyện bẩn mồm
positive,wou đẹp
negative,"haha , cười nghiêng ngảthu_nhập_tại_gia_đình888"
negative,áp lực 😳
negative,"co 1 kiểu bất lực đợi hành động quyết định , đầu hiện 2 hướng giải quyết k tự chủ dc"
negative,thương
negative,biet ong hien k : hien gi block ( hien k the lien lac voi nguoi tren messenger )
positive,"tự hào không khí đón tết vui tươi hạnh phúc nhân dân ko đất nước đẹp việt nam , nét truyền thống đc gìn giữ đẹp ."
positive,taht's great
positive,mải gái cường mấy lít máu
negative,bùn nhìu chút 🥺
positive,3 siu lày 🤭
negative,vẽ bề ngoài ko sai
negative,dao vô hình :)
positive,thầy huấn dạy
positive,đẹp
negative,đau đeo bám quài
positive,🌷 🌺 🌻 🌷 🌼 🌺 💐 🌸 🌹 💐 💐 🌼 🌺 🌷 🌻 💐 🌼 🌺 🌷 🌻 💐 🌹
positive,xuyến yêu
positive,máu tận 3 p 😂 😂 😂 😂
negative,tien2 . 678926561 áp lực nha bé 🥰
negative,tội .. 🥺 🥺
positive,👍
negative,"suốt câu "" m ngta kìa "" 😔 😔 😔"
positive,hoàng liên
positive,cô dâu đẹp trời
positive,yêu ghiaaaa 🥰 🥰 🥰
positive,điện biên phủ
positive,minh sad bt hôm bay j 😞
negative,"kh , kh lựa chọn ."
negative,dix sếp cũ t ghê lun
positive,sách 🥰 🥰
negative,đánh xong 😭
negative,nương 🌷 ☺ ️ bninh suy nghĩ chiều hướng nè bninh tự ti lắm
positive,yêu việt nam
negative,99 nợ nần cv . nợ cv ổn tự khắc
negative,mạnh mẽ gái 😌
positive,hà ahn 🥹
positive,salim mẹ bé pam hả mn
negative,nén đau thương chờ . đừng
negative,ko gọi
negative,tích cực vd tiêu cực hẵn =))
negative,tội nghiệp e
positive,tuyệt i 🥰 🥰 🥰 🥰 🥰 🥰 🥰
positive,tuyệt vời
positive,cưng xỉu ❤ ️
negative,suy diễn hoài nghi lo sợ thành sự thật k
positive,giá
negative,áp lực 🥺 🥺 . chán ảnh lắm 🥺
negative,tội inter
negative,lớp tích cực vui tươi tiêu cực buồn bã
negative,đời ny mập ko 🥰
negative,hongson22 ta mệt 🥺 🥺
negative,e mệt mõi 😪 😪
positive,bảo nhân cách hoa titan arum 🦩
positive,k thể dx 😳
positive,tao mày ế tao
positive,trời xỉu
negative,rụng .
negative,🥰 cta suy nghĩ
positive,ko mưa đc
negative,mai thúy nhi phạm b trc nghỉ t gửi vô
positive,mũi xinh xĩu lun
positive,cười
positive,chúc e sinh nhật vui vẻ
negative,cô đơn 😭 😭 😭
positive,năng lượng 2024
positive,soái ngôn tình cj e thội
positive,viêt nam đẹp <someone>
negative,qq ẩn khúc ko qq tự nhiên
positive,❤ ️
positive,vuiii
positive,tuyệt vời 🤩 khâm phục ngưỡng mộ ý chí 🥰
